XML_Processed,INDDs_Created,PDFs_Created,Process_Time
committes_2024-05-13-for-id.xml,committes_2024-05-13-for-id.indd,committes_2024-05-13-for-id.pdf,2024-07-02T11:02:59Z
committes_2024-05-15-for-id.xml,committes_2024-05-15-for-id.indd,committes_2024-05-15-for-id.pdf,2024-07-02T11:03:01Z
committes_2024-05-16-for-id.xml,committes_2024-05-16-for-id.indd,committes_2024-05-16-for-id.pdf,2024-07-02T11:03:03Z
committes_2024-05-20-for-id.xml,committes_2024-05-20-for-id.indd,committes_2024-05-20-for-id.pdf,2024-07-02T11:03:05Z
committes_2024-05-21-for-id.xml,committes_2024-05-21-for-id.indd,committes_2024-05-21-for-id.pdf,2024-07-02T11:03:07Z
committes_2024-05-22-for-id.xml,committes_2024-05-22-for-id.indd,committes_2024-05-22-for-id.pdf,2024-07-02T11:03:09Z
committes_2024-05-23-for-id.xml,committes_2024-05-23-for-id.indd,committes_2024-05-23-for-id.pdf,2024-07-02T11:03:11Z
